sebelum,setelah
ababil,anak ingusan
abal2,palsu
abal,palsu
ad,ada
ae,saja
akooh,aku
alay,norak
ajah,saja
albm,album
ampe,sampai
anjir,waw
anyway,ngomong-ngomong
aq,aku
asap,secepatnya
ato,atau
ama,sama
atw,atau
ava,foto profil
astra,astrazeneca
ak,aku
az,astrazeneca
baget,keras kepala
baper,bawa perasaan
bapuk,rusak
bcr,bicara
bebeb,pacar
begin,awal
bejibun,bertumpuk banyak
bener,benar
bner,benar
ber2,berdua
ber3,bertiga
better,lebih baik
bf,pacar
bgt,banget
bhas,bahas
bhg,bahagia
blm,belum
bikin,buat
binggo,banget
bingit,banget
bklan,bakalan
bkn,bukan
blg,bilang
bnr,benar
bnyk,banyak
bln,bulan
br,baru
bru,baru
brb,akan segera kembali
brjaya,berjaya
bs,bisa
budget,biaya
bsk,besok
byk,banyak
btw,ngomong-ngomong
cm,cuma
cmiiw,koreksi saya
cepet,cepat
congratulation,selamat
congratulations,selamat
cnt,cinta
congrats,selamat
crop,potong
cya,sampai jumpa lagi
da,ada
dafuk,kurang ajar
damat,tidak peduli
dempa,demi apa
dah,sudah
dg,dengan
dh,sudah
dgn,dengan
dkt,dekat
dlm,dalam
dlu,dulu
dmn,dimana
dtg,datang
dos,dosis
dptnya,dapatnya
dpat,dapat
dpt,dapat
dr,dari
dibaw,dibawah
dikit,sedikit
drpd,daripada
dsna,disana
dosi,dosis
dugem,dunia gemerlap
elo,kamu
elu,kamu
emg,memang
epsd,episode
fake,falsu
fans,penggemar
fans,penggemar
faq,pertanyaan umum
fham,paham
fhm,paham
fix,pasti
ft,foto
fyi,asal tahu saja
g,tidak
ga,tidak
gabisa,tidak bisa
gaada,tidak ada
gabut,gaji buta
gada,tidak ada
gajebo,tidak jelas
gak,tidak
galau,bimbang
garing,hambar
gatau,tidak tahu
geje,tidak jelas
gengges,ganggu
gf,pacar
ggl,gagal
gk,tidak
gmn,bagaimana
gmpng,gampang
gogon,go internasional
gokil,gila
gpp,tidak apa-apa
grgr,karena
grammar,tata bahasa
gt,gitu
gtu,gitu
guyss,teman
guys,teman
gue,aku
gw,aku
gw,aku
haloo,halo
hacep,pesta pora
haru,hari
hayu,ayo
hater,pembenci
haters,pembenci
hrs,harus
help,tolong
hdp,hidup
hdr,hadir
hit,terpopuler
hits,terkini
hoak,palsu
husb,suami
hoaks,palsu
hoax,palsu
ig,instagram
info,informasi
indo,indonesia
iow,dengan kata lain
ipon,iphone
jd,jadi
jdi,jadi
jdnya,jadinya
jg,juga
jgan,jangan
jgn,jangan
jl,jalan
jln,jalan
jls,jelas
jutek,galak
k2 ,ke
kayak,seperti
kamseupay,kampungan
kab,kabupaten
kasi,beri
kalo ,kalau
karna,karena
karn,karena
kbr,kabar
kca,kaca
kec,kecamatan
kel,kelurahan
kemaren,kemarin
kemaren,kemarin
keknya,kayaknya
keles,kali
keleus,kali
kepo,penasaran
kgk,kagak
kicep,diam
kipak,bohong
kk,kakak
kl,kalau
klo,kalau
klon,duplikat
klrg,keluarga
klu,kalau
km,kamu
kmn,kemana
kmrn,kemarin
kn,kan
knp,kenapa
kongkow,kumpul-kumpul
kpd,kepada
kpn,kapan
krn,karena
krna,karena
ktny,katanya
kumkeb,kumpul kebo
koyo,seperti
kyk,kayak
kzl,kesal
lebay,berlebihan
lebeh,berlebihan
lg,lagi
lgs,langsung
liat,lihat
lnjut,lanjut
lo,kamu
lol,tertawa
love,cinta
lwt,lewat
malay,malaysia
monggo,silahkan
makaciii,terima kasih
maaci,terima kasih
mabok,mabuk
mager,malas gerak
maharani,mahal
maho,homoseksual
mainstream,sangat umum
males,malas
melaks,melaksanakan
mcm,macam
mehong,mahal
meneketehe,tidak tahu
menel,centil
mgkn,mungkin
mjnggu,minggu
mkn,makan
mksd,maksud
mlm,malam
mlm,malam
mls,malas
mmg,memang
modus,maksud lain
mrk,mereka
mrka,mereka
much,lebih
mure,murah
mw,mau
n,dan
ni,ini
need,butuh
ngasih,memberi
ngeh,paham
ngeuh,paham
ngalamin,mengalami
nggak,tidak
ngeliat,melihat
nggu,menunggu
ngk,tidak
nnt,nanti
nice,bagus
ngga,tidak
nmr,nomor
nongkrong,kumpul
ntn,nonton
nyungsep,jatuh
official,resmi
olh,oleh
or,atau
only,saja
okt,oktober
ojo,jangan
org,orang
pa,apa
phase,fase
pgi,pagi
pake,pakai
palbis,paling bisa
pcr,pacar
pcran,pacaran
pd,pada
pdhl,padahal
pdhal,padahal
plis,tolong
please,tolong
peres,palsu
pegel,pegal
pusiiing,pusing
pg,pagi
pgg,pegang
php,pemberi harapan palsu
pk,pakai
plg,pulang
pls,tolong
pnah,pernah
pnh,pernah
pntg,penting
pny,punya
prasmul,perasaan saja
prcya,percaya
prnh,pernah
pst,pesat
recokin,ganggu
rempong,repot
rep,balas
rs,rumah sakit
ri,republik indonesia
rotfl,tertawa
s.d,sampai dengan
sabeb,bebas
schedule,jadwal
sdg,sedang
sdh,sudah
sdhlah,sudah lah
selow,santai
sg,singapur
sgt,sangat
sgt,sangat
sgtu,segitu
sgtuny,segitunya
sh,masih
sharing,berbagi
sjjurny,sejujurnya
skali,sekali
skrg,sekarang
slh,salah
skola,sekolah
sll,selalu
sm,sama
sma,sama
smg,semoga
sampe,sampai
smga,semoga
smw,semua
smwnya,semuanya
stage,panggung
stj,setuju
stlh,setelah
stuju,setuju
semuaa,semua
sy,saya
sya,saya
syg,sayang
t,terminal
td,tadi
tdk,tidak
tengsin,malu
thn,tahun
tik,cantik
tkt,takut
tetep,tetap
trnyata,ternyata
tmpt,tempat
tp,tapi
tpii,tapi
trs,terus
trus,terus
tgl,tanggal
ttg,tentang
ttp,tetap
tw,tau
thai,thailand
typo,salah tulis
u,kamu
ujungujung,akhir
univ,universitas
utk,untuk
udh,sudah
unyu,menggemaskan
with,dengan
woles,santai
waw,wow
wtf,apa-apaan
x,kali
y,ya
yaa,ya
yaaa,ya
yg,yang
you,kamu
yuk,ayo
